Name,S2_CLAMP,Kc_CLAMP
Heterogeneous_nuclear_ribonucleoprotein_27C,17.2209026128,0.0
Heterogeneous_nuclear_ribonucleoprotein_at_27C_isoform_D,17.2209026128,0.0
Histone_H4,4.85436893204,0.0
Eukaryotic_translation_initiation_factor_4G_isoform_A,2.10084033613,0.0
Eukaryotic_translation_initiation_factor_4G_isoform_B,1.82386659719,0.0
FI01658p,1.80505415162,0.0
Isoform_A_of_Ataxin-2_homolog,1.68918918919,0.0
CG7239,1.6339869281,0.0
Pif1A_isoform_D,1.5873015873,0.0
Isoform_C_of_Ataxin-2_homolog,1.46627565982,0.0
Ataxin-2_homolog,1.38376383764,0.0
Gp210,1.33262260128,0.0
CG17233_isoform_D,1.29533678756,0.0
Protein_argonaute-2,1.23558484349,0.0
Isoform_C_of_Protein_argonaute-2,1.2325390304,0.0
CG4857_isoform_E,1.19976004799,0.0
CG4857_isoform_F,1.19976004799,0.0
Charged_multivesicular_body_protein_5,1.10619469027,0.0
CG4857_isoform_B,1.04657247514,0.0
CG4857_isoform_D,1.04657247514,0.0
CG17233_isoform_A,0.852514919011,0.0
Pif1A_isoform_C,0.815660685155,0.0
Protein_associated_with_topo_II_related-1,0.77479338843,0.0
CG17233_isoform_C,0.682593856655,0.0
Probable_histone-binding_protein_Caf1,0.581395348837,0.0
Isoform_2_of_Box_A-binding_factor,0.400320256205,0.0
Box_A-binding_factor,0.395569620253,0.0
Homeodomain_interacting_protein_kinase_isoform_A,0.373134328358,0.0
CG42389_isoform_G,0.353857041755,0.0
Tax_Id=9606_Gene_Symbol=HRNR Hornerin,0.350877192982,0.0
CG42389_isoform_F,0.283768444949,0.0
Isoform_E_of_Maternal_protein_pumilio,0.267379679144,0.0
CG42389_isoform_E,0.242248062016,0.0
Isoform_B_of_Maternal_protein_pumilio,0.210970464135,0.0
Maternal_protein_pumilio,0.163078930202,0.0
Myopic,0.136388434261,0.0
