Name,S2_CLAMP,Kc_CLAMP
CG1832_isoform_A,10.2495543672,8.91265597148
CG1832_isoform_B,10.1590106007,8.83392226148
Isoform_A_of_ADPATP_carrier_protein,10.0334448161,24.2474916388
ADPATP_carrier_protein,9.61538461538,23.2371794872
Heat_shock_70_kDa_protein_cognate_3,5.33536585366,0.762195121951
Elongation_factor_1-alpha,4.329004329,6.49350649351
Elongation_factor_1-alpha_2,4.329004329,6.49350649351
Elongation_factor_1-alpha_1,4.31965442765,6.47948164147
CG17255_isoform_A,4.22260718926,3.57297531399
Histone_H2B,2.0325203252,4.06504065041
Histone_H2A,2.01612903226,2.01612903226
Histone_H2A,2.01612903226,2.01612903226
GH17761p,1.87265917603,0.468164794007
Histone_H2A.v,1.77304964539,1.77304964539
Polyadenylate-binding_protein,1.57728706625,2.36593059937
Heat_shock_70_kDa_protein_cognate_4,1.53609831029,1.15207373272
Polyubiquitin,1.31061598952,0.327653997379
Ubiquitin-63E_isoform_C,1.31061598952,0.327653997379
Negative_elongation_factor_A,1.19904076739,2.39808153477
CG17838_isoform_F,0.945179584121,0.945179584121
CG17838_isoform_H,0.936329588015,0.936329588015
CG17838_isoform_A,0.88809946714,0.88809946714
Voltage-dependent_anion-selective_channel,0.886524822695,5.31914893617
CG17838_isoform_E,0.875656742557,0.875656742557
AAA_family_protein_Bor,0.827814569536,2.06953642384
Isoform_B_of_Protein_lingerer,0.750750750751,0.375375375375
Lingerer_isoform_E,0.750750750751,0.375375375375
Isoform_A_of_Protein_lingerer,0.744601638124,0.372300819062
Protein_lingerer,0.727272727273,0.363636363636
CG17838_isoform_D,0.707213578501,0.707213578501
CG17838_isoform_B,0.70323488045,0.70323488045
Calreticulin,0.615763546798,1.84729064039
Uridine_kinase,0.445632798574,0.445632798574
Tax_Id=9606_Gene_Symbol=FLG2 Filaggrin-2,0.418235048097,0.209117524049
Uridine_kinase,0.399361022364,0.399361022364
Protein_clueless,0.172651933702,0.863259668508
